date,aqi,precip,humidity,windspeed,winddir,acres_burned,temp_f,cloud_cover
10/19/18,52,0,71,4,146,356.3925234,73,73
10/20/18,55,0,78,5,175,356.3925234,68,68
10/21/18,47,0,87,6,277,356.3925234,61,61
10/22/18,38,0,86,6,256,356.3925234,59,59
10/23/18,23,0.4,83,6,263,356.3925234,62,62
10/24/18,23,0,85,5,249,356.3925234,64,64
10/25/18,41,0,83,4,233,356.3925234,67,67
10/26/18,24,0,78,5,203,356.3925234,70,70
10/27/18,5,0,86,5,253,356.3925234,65,65
10/28/18,6,0.5,83,7,260,356.3925234,65,65
10/29/18,18,0,63,9,305,356.3925234,65,65
10/30/18,25,0,52,8,306,356.3925234,69,69
10/31/18,40,0,49,5,211,0,70,70
11/1/18,37,0,63,4,131,0,74,74
11/2/18,34,0,76,3,221,0,70,70
11/3/18,40,0,67,4,205,0,70,70
11/4/18,45,0,74,4,248,0,65,65
11/5/18,57,0,72,4,284,0,67,67
11/6/18,54,0,59,3,207,0,67,67
11/7/18,53,0,50,3,125,0,68,68
11/8/18,87,0,31,8,36,9019.764706,68,68
11/9/18,162,0,33,6,80,9019.764706,66,66
11/10/18,178,0,41,4,75,9019.764706,64,64
11/11/18,163,0,33,7,48,9019.764706,65,65
11/12/18,165,0,39,6,56,9019.764706,67,67
11/13/18,158,0,47,5,50,9019.764706,63,63
11/14/18,164,0,45,4,116,9019.764706,64,64
11/15/18,198,0,49,4,82,9019.764706,63,63
11/16/18,216,0,53,4,95,9019.764706,62,62
11/17/18,176,0,78,4,131,9019.764706,56,56
11/18/18,153,0,81,3,165,9019.764706,57,57
11/19/18,166,0,63,4,75,9019.764706,59,59
11/20/18,154,0,72,4,119,9019.764706,57,57
11/21/18,50,10.1,88,11,152,9019.764706,54,54
11/22/18,23,2.6,93,11,203,9019.764706,52,52
11/23/18,22,17.1,99,12,229,9019.764706,55,55
11/24/18,28,2.1,94,5,246,9019.764706,57,57
11/25/18,43,0,91,2,215,9019.764706,59,59
11/26/18,52,0,83,3,57,0,59,59
11/27/18,39,5.3,96,6,193,0,57,57
11/28/18,34,5.2,94,7,192,0,55,55
11/29/18,42,14.2,91,15,237,0,52,52
11/30/18,32,0,78,11,296,0,52,52
12/1/18,30,3.8,83,11,271,0,50,50
12/2/18,21,0,76,6,128,0,50,50
12/3/18,30,0,75,7,58,0,52,52
12/4/18,40,3.7,80,10,64,0,50,50
12/5/18,32,1.4,87,11,51,0,50,50
12/6/18,47,0,79,7,49,0,55,55
12/7/18,54,0,76,3,43,0,53,53
12/8/18,70,0,81,5,52,0,53,53
12/9/18,76,0,85,3,53,0,53,53
12/10/18,74,0.4,88,4,127,0,50,50
12/11/18,54,0,81,4,200,0,53,53
12/12/18,55,0,78,6,170,0,56,56
12/13/18,58,0,66,6,64,0,53,53
12/14/18,63,3.6,77,7,133,0,53,53
12/15/18,50,4,88,5,144,0,57,57
12/16/18,26,14.5,86,10,164,0,56,56
12/17/18,38,1.2,85,5,244,0,53,53
12/18/18,45,0,91,3,206,0,55,55
12/19/18,45,0,91,4,56,0,57,57
12/20/18,64,0,90,3,117,0,54,54
12/21/18,46,1.2,88,5,198,0,53,53
12/22/18,35,0,80,4,86,0,53,53
12/23/18,51,0.3,85,3,232,0,53,53
12/24/18,48,1.3,95,9,194,0,53,53
12/25/18,28,0.8,75,9,312,0,52,52
12/26/18,27,0,74,5,297,0,54,54
12/27/18,19,0,71,9,283,0,52,52
12/28/18,23,0,52,9,21,0,53,53
12/29/18,39,0,59,3,121,0,53,53
12/30/18,56,0,79,4,176,0,53,53
12/31/18,12,0,56,9,117,0,53,53
