2017_precip,2018_precip,2017_wind_speed_miles,2018_wind_speed_miles,2017_humidity,2018_humidity,2017_wind_degree,2018_wind_degree,2017_temp_F,2018_temp_F,2017_cloud_cover,2018_cloud_cover
0.4,0.0,6.0,3.0,77.0,58.0,213.0,62.0,52.0,62.0,52.0,62.0
0.0,0.0,3.0,4.0,79.0,54.0,204.0,150.0,57.0,65.0,57.0,65.0
0.0,0.0,4.0,4.0,79.0,73.0,310.0,249.0,63.0,63.0,63.0,63.0
0.0,0.0,4.0,4.0,83.0,76.0,280.0,258.0,66.0,62.0,66.0,62.0
0.0,0.1,3.0,1.0,85.0,82.0,282.0,195.0,66.0,59.0,66.0,59.0
0.0,0.0,5.0,2.0,77.0,74.0,268.0,147.0,68.0,65.0,68.0,65.0
0.0,2.3,4.0,4.0,73.0,79.0,284.0,146.0,69.0,67.0,69.0,67.0
0.0,0.0,3.0,8.0,71.0,85.0,143.0,217.0,70.0,58.0,70.0,58.0
0.0,0.0,3.0,6.0,76.0,74.0,200.0,230.0,71.0,56.0,71.0,56.0
0.0,0.4,5.0,9.0,84.0,77.0,245.0,219.0,63.0,54.0,63.0,54.0
0.1,0.0,5.0,9.0,82.0,73.0,248.0,249.0,65.0,53.0,65.0,53.0
0.0,0.0,2.0,4.0,72.0,74.0,208.0,226.0,69.0,55.0,69.0,55.0
0.0,0.0,4.0,2.0,70.0,71.0,232.0,146.0,63.0,57.0,63.0,57.0
0.0,0.0,3.0,4.0,85.0,66.0,236.0,65.0,63.0,62.0,63.0,62.0
1.6,3.9,9.0,5.0,85.0,82.0,158.0,121.0,60.0,54.0,60.0,54.0
0.0,0.0,12.0,7.0,82.0,90.0,195.0,146.0,63.0,62.0,63.0,62.0
0.0,0.0,10.0,14.0,76.0,75.0,260.0,245.0,59.0,58.0,59.0,58.0
0.0,0.0,7.0,7.0,76.0,64.0,255.0,214.0,59.0,57.0,59.0,57.0
0.6,0.5,9.0,7.0,86.0,68.0,164.0,255.0,55.0,54.0,55.0,54.0
